"subject","grade","item","p_all","p_treated","p_control","observed_correct_all","observed_correct_treated","observed_correct_control","response_rate_all","response_rate_treated","response_rate_control","missing_rate_all","corrected_item_total","ctt_flag_treated","ctt_flag_all","irt_constant_excluded","item_label","irt_discrimination","irt_difficulty","irt_flag","treated_minus_control","review_bucket"
"Arabic",1,"a17y3_nv3",0.871508379888268,0.905263157894737,0.833333333333333,0.876404494382023,0.914893617021277,0.833333333333333,0.994413407821229,0.989473684210526,1,0.005586592178771,0.241507400469447,"very_easy","in_range",FALSE,"Listen to the story, and answer the question: Where does Safouane feel pain ?",1,-3.04059811324371,"very_easy",0.0719298245614035,"easy_high_coverage"
"Arabic",1,"a126y3_nv3",0.849162011173184,0.91578947368421,0.773809523809524,0.910179640718563,0.925531914893617,0.89041095890411,0.932960893854749,0.989473684210526,0.869047619047619,0.0670391061452514,0.750086241825676,"very_easy","in_range",FALSE,"Read the words",1,-2.72483819236187,"very_easy",0.141979949874687,"easy_high_coverage"
"Arabic",1,"a127y3_nv3",0.832402234636871,0.91578947368421,0.738095238095238,0.892215568862275,0.925531914893617,0.849315068493151,0.932960893854749,0.989473684210526,0.869047619047619,0.0670391061452514,0.821953933806495,"very_easy","in_range",FALSE,"Read the words",1,-2.50958742069487,"very_easy",0.177694235588972,"easy_high_coverage"
"Arabic",1,"a120y3_nv3",0.877094972067039,0.926315789473684,0.821428571428571,0.877094972067039,0.926315789473684,0.821428571428572,1,1,1,0,0.651878164022573,"very_easy","in_range",FALSE,"Read the letters",1,-3.12566339356809,"very_easy",0.104887218045113,"easy_high_coverage"
"Arabic",1,"a125y3_nv3",0.888268156424581,0.926315789473684,0.845238095238095,0.935294117647059,0.936170212765957,0.93421052631579,0.949720670391061,0.989473684210526,0.904761904761905,0.0502793296089385,0.753691643304946,"very_easy","in_range",FALSE,"Read the words",1,-3.30452024558796,"very_easy",0.081077694235589,"easy_high_coverage"
"Arabic",1,"a121y3_nv3",0.899441340782123,0.936842105263158,0.857142857142857,0.930635838150289,0.946808510638298,0.911392405063291,0.966480446927374,0.989473684210526,0.94047619047619,0.0335195530726257,0.609431668647209,"very_easy","in_range",FALSE,"Read the letters",1,-3.49675582807288,"very_easy",0.0796992481203008,"easy_high_coverage"
"Arabic",1,"a13y3_nv3",0.910614525139665,0.936842105263158,0.880952380952381,0.926136363636364,0.956989247311828,0.891566265060241,0.983240223463687,0.978947368421053,0.988095238095238,0.0167597765363129,0.3291217921082,"very_easy","very_easy",FALSE,"Describe what you see in the picture: Where is the boy going?",1,-3.70507542974331,"very_easy",0.055889724310777,"easy_high_coverage"
"Arabic",1,"a123y3_nv3",0.860335195530726,0.947368421052632,0.761904761904762,0.875,0.957446808510638,0.780487804878049,0.983240223463687,0.989473684210526,0.976190476190476,0.0167597765363129,0.555800491017039,"very_easy","in_range",FALSE,"Read the letters",1,-2.8781552644858,"very_easy",0.18546365914787,"easy_high_coverage"
"Arabic",1,"a16y3_nv3",0.88268156424581,0.947368421052632,0.80952380952381,0.897727272727273,0.947368421052632,0.839506172839506,0.983240223463687,1,0.964285714285714,0.0167597765363129,0.454411893228823,"very_easy","in_range",FALSE,"Describe what you see in the picture: Who is the girl celebrating with ?",1,-3.21355910492431,"very_easy",0.137844611528822,"easy_high_coverage"
"Arabic",1,"a113y3_nv3",0.916201117318436,0.957894736842105,0.869047619047619,0.931818181818182,0.957894736842105,0.901234567901235,0.983240223463687,1,0.964285714285714,0.0167597765363129,0.59056151955605,"very_easy","very_easy",FALSE,"Read the letters",1,-3.81638070465932,"very_easy",0.0888471177944862,"easy_high_coverage"
"Arabic",1,"a114y3_nv3",0.927374301675978,0.957894736842105,0.892857142857143,0.959537572254335,0.968085106382979,0.949367088607595,0.966480446927374,0.989473684210526,0.94047619047619,0.0335195530726257,0.636888107012626,"very_easy","very_easy",FALSE,"Read the letters",1,-4.05632341932276,"very_easy",0.0650375939849623,"easy_high_coverage"
