"subject","grade","item","p_all","p_treated","p_control","observed_correct_all","observed_correct_treated","observed_correct_control","response_rate_all","response_rate_treated","response_rate_control","missing_rate_all","corrected_item_total","ctt_flag_treated","ctt_flag_all","irt_constant_excluded","item_label","irt_discrimination","irt_difficulty","irt_flag","treated_minus_control","review_bucket"
"Arabic",5,"a2164_nv",0.0358974358974359,0.0421052631578947,0.03,0.0432098765432099,0.0493827160493827,0.0370370370370371,0.830769230769231,0.852631578947368,0.81,0.169230769230769,0.171458268337475,"very_hard","very_hard",FALSE,"Understanding informational texts: Put an X in front of all the similarities. 6",0.952196675225828,3.86492808550302,"very_hard",0.0121052631578947,"hard_high_coverage"
"Maths",5,"m2119_nv3",0.0578947368421053,0.0444444444444444,0.07,0.0607734806629835,0.0470588235294117,0.0729166666666667,0.952631578947368,0.944444444444444,0.96,0.0473684210526316,0.310733098940553,"very_hard","very_hard",FALSE,"5/3  + 3/2 =",2.60357737110858,1.84132443341422,"in_range",-0.0255555555555556,"hard_high_coverage"
"Maths",4,"m295_nv3",0.075,0.05,0.1,0.0815217391304348,0.0537634408602151,0.10989010989011,0.92,0.93,0.91,0.08,0.258607041715175,"very_hard","very_hard",FALSE,"Hamid works five days a week. Each day he works, he earns 65 dirhams. ✓ Calculat",1.33371187138325,2.36036165911619,"very_hard",-0.05,"hard_high_coverage"
"Maths",5,"m2120_nv3",0.0526315789473684,0.0555555555555556,0.05,0.0558659217877095,0.0595238095238095,0.0526315789473684,0.942105263157895,0.933333333333333,0.95,0.0578947368421052,0.266330299485323,"very_hard","very_hard",FALSE,"9/5 - 1/2 =",2.23828801460536,2.0075377449267,"very_hard",0.00555555555555555,"hard_high_coverage"
"Maths",5,"m2121_nv",0.0315789473684211,0.0555555555555556,0.01,0.0338983050847458,0.0595238095238095,0.010752688172043,0.931578947368421,0.933333333333333,0.93,0.0684210526315789,0.194394124719328,"very_hard","very_hard",FALSE,"2/5 + 1/10 =",1.51755623609215,2.83686316811805,"very_hard",0.0455555555555556,"hard_high_coverage"
"Maths",6,"m610y3_nv3",0.0432432432432432,0.0555555555555556,0.0315789473684211,0.0512820512820513,0.0617283950617284,0.04,0.843243243243243,0.9,0.789473684210526,0.156756756756757,0.383978938868487,"very_hard","very_hard",FALSE,"Put in ascending order: 12,315; 12+3/100; 12; 121/10, 12,3",1,4.21825850124123,"very_hard",0.0239766081871345,"hard_high_coverage"
"Maths",6,"m620y3_nv3",0.140540540540541,0.0666666666666667,0.210526315789474,0.179310344827586,0.0857142857142857,0.266666666666667,0.783783783783784,0.777777777777778,0.789473684210526,0.216216216216216,0.364762756044356,"very_hard","in_range",FALSE,"Conclude the size of the angle ACB",1,2.60158324522836,"very_hard",-0.143859649122807,"hard_high_coverage"
"Maths",6,"m68y3_nv3",0.162162162162162,0.1,0.221052631578947,0.184049079754601,0.111111111111111,0.25609756097561,0.881081081081081,0.9,0.863157894736842,0.118918918918919,0.490629166582109,"very_hard","in_range",FALSE,"8/5+7/4=",1,2.37511597260699,"very_hard",-0.121052631578947,"hard_high_coverage"
"Maths",6,"m69y3_nv3",0.118918918918919,0.1,0.136842105263158,0.145695364238411,0.113924050632911,0.180555555555556,0.816216216216216,0.877777777777778,0.757894736842105,0.183783783783784,0.530100670006684,"very_hard","in_range",FALSE,"9/2-4/7=",1,2.85519355944029,"very_hard",-0.0368421052631579,"hard_high_coverage"
"Maths",6,"m622y3_nv3",0.178378378378378,0.144444444444444,0.210526315789474,0.227586206896552,0.183098591549296,0.27027027027027,0.783783783783784,0.788888888888889,0.778947368421053,0.216216216216216,0.551931436251275,"in_range","in_range",FALSE,"Calculate the area of the garden in m²",1,2.21885466876791,"very_hard",-0.0660818713450292,"hard_high_coverage"
